No,User Query,Recommendations,Similarity Explanations,Score: Recommendation Relevance (1-5),Score: Conversational Fluency (1-5),Score: Explainability (1-5)
1,phim tương tự phim A Day in the Country,"Pastoral: To Die in the Country, A Gentle Creature, All the Invisible Children","Pastoral: To Die in the Country: Phim diễn viên tương đồng, cùng đạo diễn. | A Gentle Creature: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | All the Invisible Children: Phim diễn viên tương đồng, quốc gia sản xuất.",,,
2,phim tương tự phim Seraphine,"In the Fade, Rurouni Kenshin Part I: Origins, Girl, Interrupted","In the Fade: Phim diễn viên tương đồng, cùng đạo diễn. | Rurouni Kenshin Part I: Origins: Phim diễn viên tương đồng, cùng đạo diễn. | Girl, Interrupted: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn.",,,
3,phim tương tự phim Dumplin',"Montevideo: Taste of a Dream, Linda Linda Linda, 3 Idiots","Montevideo: Taste of a Dream: Phim diễn viên tương đồng, cùng đạo diễn. | Linda Linda Linda: Phim diễn viên tương đồng, cùng đạo diễn. | 3 Idiots: Phim cùng thể loại, cùng đạo diễn.",,,
4,phim tương tự phim The Silence of the Lambs,"Clarice, The Silence of the Hams, Silence 2: The Night Owl Bar Shootout","Clarice: Phim diễn viên tương đồng, cùng đạo diễn, nội dung/chủ đề tương đồng, quốc gia sản xuất. | The Silence of the Hams: Phim cùng đạo diễn, nội dung/chủ đề tương đồng, quốc gia sản xuất. | Silence 2: The Night Owl Bar Shootout: Phim cùng thể loại, cùng đạo diễn.",,,
5,phim tương tự phim The Curse of La Llorona,"Sang Krasue, Ju-on: The Curse 2, The Curse of the Necklace","Sang Krasue: Phim diễn viên tương đồng, cùng đạo diễn, nội dung/chủ đề tương đồng. | Ju-on: The Curse 2: Phim diễn viên tương đồng, cùng đạo diễn, nội dung/chủ đề tương đồng. | The Curse of the Necklace: Phim cùng đạo diễn, nội dung/chủ đề tương đồng, quốc gia sản xuất.",,,
6,phim tương tự phim Let Sleeping Corpses Lie,"Burial Ground: The Nights of Terror, The Ghost Galleon, House of 1000 Corpses","Burial Ground: The Nights of Terror: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | The Ghost Galleon: Phim cùng thể loại, cùng đạo diễn, quốc gia sản xuất. | House of 1000 Corpses: Phim cùng thể loại, cùng đạo diễn, nội dung/chủ đề tương đồng.",,,
7,phim tương tự phim Wanda,"21 Days Together, The Ministers, Illegal Tender","21 Days Together: Phim diễn viên tương đồng, cùng đạo diễn. | The Ministers: Phim cùng thể loại, diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | Illegal Tender: Phim diễn viên tương đồng, cùng đạo diễn, nội dung/chủ đề tương đồng, quốc gia sản xuất.",,,
8,phim tương tự phim The Bélier Family,"Aline, Serial (Bad) Weddings 2, The Restaurant","Aline: Phim diễn viên tương đồng, cùng đạo diễn, nội dung/chủ đề tương đồng, quốc gia sản xuất. | Serial (Bad) Weddings 2: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất. | The Restaurant: Phim diễn viên tương đồng, cùng đạo diễn.",,,
9,phim tương tự phim The Look of Love,"Km. 0, Peppermint, The Love Boat","Km. 0: Phim diễn viên tương đồng, cùng đạo diễn. | Peppermint: Phim diễn viên tương đồng, cùng đạo diễn. | The Love Boat: Phim diễn viên tương đồng, cùng đạo diễn, quốc gia sản xuất.",,,
10,phim tương tự phim Sense and Sensibility,"Sense, Sensibility & Snowmen, The Lady and the Tramp, Elegy","Sense, Sensibility & Snowmen: Phim diễn viên tương đồng, cùng đạo diễn. | The Lady and the Tramp: Phim cùng thể loại, cùng đạo diễn. | Elegy: Phim cùng thể loại, cùng đạo diễn, quốc gia sản xuất.",,,
